iter	Passed	Remaining
764	15581	4786
765	15603	4766
766	15625	4746
767	15646	4726
768	15665	4705
769	15686	4685
770	15705	4664
771	15724	4644
772	15743	4623
773	15764	4602
774	15784	4582
775	15801	4561
776	15822	4541
777	15860	4525
778	15889	4507
779	15913	4488
780	15940	4469
781	15965	4450
782	15993	4432
783	16021	4414
784	16052	4396
785	16090	4380
786	16109	4360
787	16130	4339
788	16149	4318
789	16171	4298
790	16195	4279
791	16215	4258
792	16235	4238
793	16252	4216
794	16267	4194
795	16283	4173
796	16300	4151
797	16316	4130
798	16331	4108
799	16351	4087
800	16372	4067
801	16389	4046
802	16415	4027
803	16435	4006
804	16457	3986
805	16496	3970
806	16519	3950
807	16539	3930
808	16559	3909
809	16580	3889
810	16601	3868
811	16627	3849
812	16648	3829
813	16668	3808
814	16691	3788
815	16716	3769
816	16738	3749
817	16757	3728
818	16777	3707
819	16793	3686
820	16809	3664
821	16828	3644
822	16848	3623
823	16865	3602
824	16880	3580
825	16897	3559
826	16913	3538
827	16930	3516
828	16947	3495
829	16965	3474
830	16995	3456
831	17018	3436
832	17042	3416
833	17062	3396
834	17084	3375
835	17123	3359
836	17166	3343
837	17191	3323
838	17218	3304
839	17239	3283
840	17258	3262
841	17284	3243
842	17334	3228
843	17357	3208
844	17379	3187
845	17402	3167
846	17423	3147
847	17446	3127
848	17467	3106
849	17488	3086
850	17513	3066
851	17533	3045
852	17553	3025
853	17573	3004
854	17594	2983
855	17623	2964
856	17647	2944
857	17668	2924
858	17700	2905
859	17738	2887
860	17760	2867
861	17781	2846
862	17799	2825
863	17818	2804
864	17837	2783
865	17856	2762
866	17874	2741
867	17893	2721
868	17911	2700
869	17930	2679
870	17949	2658
871	17967	2637
872	17984	2616
873	18001	2595
874	18019	2574
875	18037	2553
876	18056	2532
877	18073	2511
878	18091	2490
879	18115	2470
880	18133	2449
881	18151	2428
882	18171	2407
883	18191	2387
884	18210	2366
885	18229	2345
886	18247	2324
887	18266	2303
888	18285	2283
889	18304	2262
890	18325	2241
891	18344	2221
892	18361	2200
893	18377	2178
894	18395	2158
895	18426	2138
896	18447	2118
897	18465	2097
898	18483	2076
899	18501	2055
900	18519	2034
901	18537	2014
902	18556	1993
903	18575	1972
904	18595	1952
905	18620	1931
906	18638	1911
907	18656	1890
908	18674	1869
909	18689	1848
910	18710	1827
911	18729	1807
912	18748	1786
913	18768	1766
914	18791	1745
915	18807	1724
916	18824	1703
917	18843	1683
918	18863	1662
919	18890	1642
920	18908	1621
921	18923	1600
922	18941	1580
923	18957	1559
924	18972	1538
925	18991	1517
926	19007	1496
927	19024	1476
928	19039	1455
929	19062	1434
930	19078	1413
931	19097	1393
932	19115	1372
933	19132	1352
934	19158	1331
935	19177	1311
936	19197	1290
937	19220	1270
938	19244	1250
939	19272	1230
940	19294	1209
941	19313	1189
942	19331	1168
943	19349	1147
944	19368	1127
945	19391	1106
946	19410	1086
947	19429	1065
