iter	Passed	Remaining
907	24346	15873
908	24368	15843
909	24393	15815
910	24414	15785
911	24438	15756
912	24459	15726
913	24483	15697
914	24505	15667
915	24527	15637
916	24551	15608
917	24583	15585
918	24614	15561
919	24647	15538
920	24688	15520
921	24717	15495
922	24761	15479
923	24803	15461
924	24831	15435
925	24861	15410
926	24890	15385
927	24921	15360
928	24946	15333
929	24977	15308
930	25005	15282
931	25047	15265
932	25075	15238
933	25104	15213
934	25138	15190
935	25169	15166
936	25193	15137
937	25221	15111
938	25249	15085
939	25275	15057
940	25303	15031
941	25330	15004
942	25356	14977
943	25384	14951
944	25409	14923
945	25438	14897
946	25466	14871
947	25491	14842
948	25514	14813
949	25536	14784
950	25559	14755
951	25591	14731
952	25626	14709
953	25665	14688
954	25688	14659
955	25712	14631
956	25734	14601
957	25754	14571
958	25777	14541
959	25798	14511
960	25821	14482
961	25847	14455
962	25876	14429
963	25903	14402
964	25931	14376
965	25961	14351
966	25994	14327
967	26025	14303
968	26055	14277
969	26085	14252
970	26112	14226
971	26142	14200
972	26171	14174
973	26202	14150
974	26252	14136
975	26311	14126
976	26352	14106
977	26385	14083
978	26409	14054
979	26432	14025
980	26458	13997
981	26493	13974
982	26520	13948
983	26550	13922
984	26579	13897
985	26602	13867
986	26625	13839
987	26646	13808
988	26667	13778
989	26692	13750
990	26717	13722
991	26745	13696
992	26772	13669
993	26800	13642
994	26825	13614
995	26848	13585
996	26871	13557
997	26893	13527
998	26915	13497
999	26936	13468
1000	26958	13438
1001	26986	13412
1002	27016	13386
1003	27052	13364
1004	27084	13340
1005	27114	13314
1006	27153	13293
1007	27191	13272
1008	27226	13248
1009	27262	13226
1010	27296	13202
1011	27342	13185
1012	27379	13162
1013	27414	13139
1014	27444	13113
1015	27477	13089
1016	27509	13065
1017	27534	13037
1018	27559	13008
1019	27583	12980
1020	27606	12951
1021	27631	12923
1022	27656	12895
1023	27678	12866
1024	27704	12838
1025	27726	12809
1026	27765	12787
1027	27794	12761
1028	27831	12739
1029	27861	12713
1030	27887	12685
1031	27911	12657
1032	27937	12629
1033	27963	12602
1034	27989	12575
1035	28015	12547
1036	28039	12519
1037	28066	12491
1038	28096	12466
1039	28123	12439
1040	28146	12410
1041	28168	12381
1042	28190	12351
1043	28212	12322
1044	28240	12296
1045	28269	12270
1046	28308	12248
1047	28334	12220
1048	28361	12193
1049	28384	12164
1050	28408	12136
1051	28434	12109
1052	28485	12091
1053	28525	12070
1054	28556	12044
1055	28583	12018
1056	28608	11990
1057	28635	11962
1058	28662	11935
1059	28688	11908
1060	28715	11881
1061	28743	11854
1062	28772	11828
1063	28803	11802
1064	28834	11777
1065	28864	11751
1066	28892	11724
1067	28918	11697
1068	28948	11671
1069	28975	11644
1070	29000	11616
1071	29028	11589
1072	29054	11562
1073	29098	11541
1074	29129	11516
1075	29156	11489
1076	29182	11461
1077	29211	11435
1078	29239	11408
1079	29266	11381
1080	29291	11353
1081	29313	11324
1082	29337	11296
1083	29360	11267
1084	29381	11238
1085	29405	11209
1086	29430	11181
1087	29453	11153
1088	29476	11124
1089	29498	11095
1090	29524	11068
1091	29551	11041
1092	29576	11013
1093	29598	10984
1094	29622	10956
1095	29643	10926
1096	29662	10897
1097	29682	10867
1098	29703	10838
1099	29731	10811
1100	29752	10782
1101	29774	10753
1102	29795	10724
1103	29816	10695
1104	29839	10666
1105	29859	10637
1106	29878	10607
1107	29899	10578
1108	29922	10549
1109	29943	10520
1110	29964	10491
1111	29986	10462
1112	30011	10435
1113	30041	10409
1114	30074	10384
1115	30102	10357
1116	30129	10330
1117	30154	10303
1118	30177	10274
1119	30204	10247
1120	30232	10221
1121	30263	10195
1122	30290	10168
1123	30320	10142
1124	30348	10116
1125	30374	10088
1126	30401	10061
1127	30428	10035
1128	30454	10007
1129	30479	9979
1130	30510	9954
1131	30537	9927
1132	30565	9900
1133	30591	9873
1134	30621	9847
1135	30649	9820
1136	30673	9793
1137	30700	9765
1138	30727	9739
1139	30753	9711
1140	30781	9684
1141	30809	9658
1142	30844	9633
1143	30883	9610
1144	30921	9587
1145	30954	9561
1146	31033	9550
1147	31090	9532
1148	31138	9512
1149	31167	9485
1150	31197	9459
1151	31225	9432
1152	31251	9405
1153	31279	9378
1154	31305	9351
1155	31331	9323
1156	31376	9301
1157	31409	9276
1158	31443	9251
1159	31471	9224
1160	31498	9197
1161	31527	9170
1162	31555	9143
1163	31589	9118
1164	31615	9091
1165	31644	9064
1166	31672	9037
1167	31697	9010
1168	31726	8983
1169	31748	8954
1170	31770	8926
1171	31792	8897
1172	31815	8869
1173	31843	8842
1174	31869	8814
1175	31897	8788
1176	31943	8766
1177	31977	8740
1178	32007	8714
1179	32034	8687
1180	32062	8660
1181	32093	8634
1182	32122	8607
1183	32148	8580
1184	32174	8552
1185	32195	8524
1186	32222	8496
1187	32245	8468
1188	32267	8440
1189	32288	8411
1190	32309	8382
1191	32330	8353
1192	32353	8325
1193	32373	8296
1194	32397	8268
1195	32422	8241
1196	32443	8212
1197	32466	8184
1198	32489	8156
1199	32513	8128
1200	32538	8100
1201	32565	8073
1202	32587	8045
1203	32608	8016
1204	32635	7989
1205	32658	7961
1206	32686	7934
1207	32709	7906
1208	32733	7878
1209	32756	7850
1210	32778	7822
1211	32801	7794
1212	32824	7766
1213	32848	7738
1214	32870	7710
1215	32896	7683
1216	32921	7655
1217	32945	7627
1218	32969	7599
1219	32993	7572
1220	33017	7544
1221	33038	7516
1222	33061	7488
